date,exchange_rate
8/10/2011,45.25997077
8/11/2011,45.36519833
8/12/2011,45.34526316
8/13/2011,45.34526316
8/14/2011,45.34526316
8/15/2011,45.34488783
8/16/2011,45.38997214
8/17/2011,45.36851558
8/18/2011,45.74987821
8/19/2011,45.74973931
8/20/2011,45.74973931
8/21/2011,45.74973931
8/22/2011,45.66502463
8/23/2011,45.62508643
8/24/2011,46.00498857
8/25/2011,46.04478647
8/26/2011,46.15470074
8/27/2011,46.15470074
8/28/2011,46.15470074
8/29/2011,46.05508387
8/30/2011,46.05610332
8/31/2011,46.06920415
9/1/2011,46.08750438
9/2/2011,45.787443
9/3/2011,45.787443
9/4/2011,45.787443
9/5/2011,45.99815942
9/6/2011,45.98482162
9/7/2011,46.16486178
9/8/2011,46.19481629
9/9/2011,46.56220598
9/10/2011,46.56220598
9/11/2011,46.56220598
9/12/2011,47.2297891
9/13/2011,47.59472334
9/14/2011,47.65022944
9/15/2011,47.5549112
9/16/2011,47.25508721
9/17/2011,47.25508721
9/18/2011,47.25508721
9/19/2011,47.81247709
9/20/2011,48.0547046
9/21/2011,48.33015547
9/22/2011,49.57763236
9/23/2011,49.43261355
9/24/2011,49.43261355
9/25/2011,49.43261355
9/26/2011,49.44740741
9/27/2011,49.07504234
9/28/2011,48.760179
9/29/2011,48.96658098
9/30/2011,48.96615567
10/1/2011,48.96615567
10/2/2011,48.96615567
10/3/2011,49.16035117
10/4/2011,49.40748046
10/5/2011,49.34992877
10/6/2011,49.35036551
10/7/2011,49.16033944
10/8/2011,49.16033944
10/9/2011,49.16033944
10/10/2011,48.97520783
10/11/2011,49.32534725
10/12/2011,48.95975592
10/13/2011,49.13018139
10/14/2011,49.02006229
10/15/2011,49.02006229
10/16/2011,49.02006229
10/17/2011,48.95470383
10/18/2011,49.3930974
10/19/2011,49.16473821
10/20/2011,49.8073441
10/21/2011,50.02464125
10/22/2011,50.02464125
10/23/2011,50.02464125
10/24/2011,49.82534642
10/25/2011,49.50998707
10/26/2011,49.50743161
10/27/2011,49.5099017
10/28/2011,48.76624294
10/29/2011,48.76624294
10/30/2011,48.76624294
10/31/2011,48.69509321
11/1/2011,49.28010567
11/2/2011,49.18531393
11/3/2011,49.14470341
11/4/2011,49.10498802
11/5/2011,49.10498802
11/6/2011,49.10498802
11/7/2011,49.11148304
11/8/2011,49.47998259
11/9/2011,50.16504071
11/10/2011,50.02497062
11/11/2011,50.12249084
11/12/2011,50.12249084
11/13/2011,50.12249084
11/14/2011,50.37484442
11/15/2011,50.67986994
11/16/2011,50.75496885
11/17/2011,50.94510386
11/18/2011,51.25515616
11/19/2011,51.25515616
11/20/2011,51.25515616
11/21/2011,52.30494873
11/22/2011,52.37532324
11/23/2011,52.47478897
11/24/2011,52.03469678
11/25/2011,52.23977625
11/26/2011,52.23977625
11/27/2011,52.23977625
11/28/2011,52.03476176
11/29/2011,52.05533893
11/30/2011,52.25517961
12/1/2011,51.36970056
12/2/2011,51.10502553
12/3/2011,51.10502553
12/4/2011,51.10502553
12/5/2011,51.37479542
12/6/2011,51.31476781
12/7/2011,51.71712641
12/8/2011,51.72483221
12/9/2011,52.07486551
12/10/2011,52.07486551
12/11/2011,52.07486551
12/12/2011,52.86167082
12/13/2011,53.19019801
12/14/2011,53.93519587
12/15/2011,53.53713803
12/16/2011,52.69978567
12/17/2011,52.69978567
12/18/2011,52.69978567
12/19/2011,52.93504103
12/20/2011,52.97537097
12/21/2011,52.68500077
12/22/2011,52.62972331
12/23/2011,52.85517347
12/24/2011,52.85517347
12/25/2011,52.85517347
12/26/2011,52.85517347
12/27/2011,52.93748565
12/28/2011,52.89735353
12/29/2011,53.05221507
12/30/2011,53.10534044
12/31/2011,53.10534044
1/1/2012,53.10534044
1/2/2012,53.30498647
1/3/2012,53.11971723
1/4/2012,52.92940995
1/5/2012,52.92471945
1/6/2012,52.72463995
1/7/2012,52.72463995
1/8/2012,52.72463995
1/9/2012,52.50235701
1/10/2012,51.79497189
1/11/2012,51.86507312
1/12/2012,51.5201005
1/13/2012,51.44781145
1/14/2012,51.44781145
1/15/2012,51.44781145
1/16/2012,51.42473755
1/17/2012,50.64738077
1/18/2012,50.39903359
1/19/2012,50.28038107
1/20/2012,50.28135173
1/21/2012,50.28135173
1/22/2012,50.28135173
1/23/2012,49.99462242
1/24/2012,50.1053603
1/25/2012,50.24493896
1/26/2012,50.24496006
1/27/2012,49.3952073
1/28/2012,49.3952073
1/29/2012,49.3952073
1/30/2012,49.7597254
1/31/2012,49.43533698
2/1/2012,49.16508539
2/2/2012,49.1446464
2/3/2012,48.80471125
2/4/2012,48.80471125
2/5/2012,48.80471125
2/6/2012,49.05535961
2/7/2012,49.34492488
2/8/2012,49.14494501
2/9/2012,49.35505719
2/10/2012,49.48972629
2/11/2012,49.48972629
