Stock,Year,Month,Stock Splits
AMTBB,2018,Oct,0.3333333333333333
AMTD,1999,Feb,2.0
AMTD,1999,Jul,3.0
AMTX,2014,May,0.1
AMWD,2004,Sep,2.0
AMX,2005,Jul,3.0
AMX,2011,Jul,2.0
AMZN,1999,Jan,3.0
AMZN,1999,Sep,2.0
ANDE,2006,Jun,2.0
ANDE,2014,Feb,3.0
ANF,1999,Jun,2.0
ANIP,2002,Jun,0.1
ANIP,2012,Jun,0.16666666666666666
ANIP,2013,Jul,0.16666666666666666
ANIX,2015,Jun,0.04
ANIX,2016,Oct,1.0
ANSS,2004,Oct,2.0
ANSS,2007,Jun,2.0
ANTE,2019,Apr,0.2
ANTM,2005,Jun,2.0
ANY,2017,Jul,0.04
ANY,2018,Nov,0.125
AON,1999,May,1.5
AOS,2010,Nov,1.5
AOS,2013,May,2.0
AOS,2016,Oct,2.0
AOS,2016,Sep,2.0
APA,2001,Dec,1.1
APA,2003,Mar,1.05
APA,2004,Jan,2.0
APD,2016,Oct,1.081
APDN,2014,Oct,0.016666666666666666
APDN,2019,Nov,0.025
APEN,2012,Oct,0.14285714285714285
APEN,2016,Dec,0.18181818181818182
APEN,2016,Jun,0.07142857142857142
APEX,2019,Sep,0.3333333333333333
APH,2000,Apr,2.0
APH,2004,Mar,2.0
APH,2007,Apr,2.0
APH,2014,Oct,2.0
APLE,2015,May,0.5
APO,2013,Aug,1.0
APOP,2019,Oct,0.2
APPS,2006,Aug,2.5
APPS,2013,Apr,0.2
APRN,2019,Jun,0.06666666666666667
APTO,2010,Jun,0.03333333333333333
APTO,2014,Oct,0.08333333333333333
APTV,2017,Dec,1.193
ARAV,2018,Oct,0.16666666666666666
ARC,2014,Jul,10.0
ARCO,2015,Jan,1.0
ARCT,2017,Nov,0.14285714285714285
ARE,2002,Jul,100.0
ARE,2006,Apr,1.0
ARGO,2007,Aug,0.666
ARGO,2013,May,1.1
ARGO,2015,Feb,1.1
ARGO,2016,May,1.1
ARGO,2018,Mar,1.15
ARLP,2005,Sep,2.0
ARLP,2014,Jun,2.0
ARMP,2006,May,0.1
ARMP,2015,Aug,0.02
ARMP,2017,Apr,0.1
ARMP,2019,May,0.07142857142857142
ARNA,2017,Jun,0.1
AROW,1999,Nov,1.25
AROW,2001,Oct,1.05
AROW,2002,Oct,1.05
AROW,2003,Sep,1.25
AROW,2004,Sep,1.03
AROW,2005,Sep,1.03
AROW,2006,Sep,1.03
AROW,2007,Sep,1.03
AROW,2009,Sep,1.03
AROW,2010,Sep,1.03
AROW,2011,Sep,1.03
AROW,2012,Sep,1.02
AROW,2013,Sep,1.02
AROW,2014,Sep,1.02
AROW,2015,Sep,1.02
AROW,2016,Sep,1.03
AROW,2017,Sep,1.03
AROW,2018,Sep,1.03
