date,exchange_rate
2011-07-26,44.1849215673
2011-07-27,44.0848677835
2011-07-28,44.0981767181
2011-07-29,44.1949509116
2011-07-30,44.1949509116
2011-07-31,44.1949509116
2011-08-01,44.0749219563
2011-08-02,44.2773465067
2011-08-03,44.3202797203
2011-08-04,44.5477545857
2011-08-05,44.745319675
2011-08-06,44.745319675
2011-08-07,44.745319675
2011-08-08,44.9701230228
2011-08-09,45.2099250018
2011-08-10,45.2599707663
2011-08-11,45.3651983313
2011-08-12,45.3452631579
2011-08-13,45.3452631579
2011-08-14,45.3452631579
2011-08-15,45.3448878328
2011-08-16,45.3899721448
2011-08-17,45.3685155764
2011-08-18,45.74987821
2011-08-19,45.7497393118
2011-08-20,45.7497393118
2011-08-21,45.7497393118
2011-08-22,45.6650246305
2011-08-23,45.6250864334
2011-08-24,46.0049885679
2011-08-25,46.044786467
2011-08-26,46.154700736
2011-08-27,46.154700736
2011-08-28,46.154700736
2011-08-29,46.0550838683
2011-08-30,46.056103319
2011-08-31,46.0692041522
2011-09-01,46.0875043752
2011-09-02,45.7874430025
2011-09-03,45.7874430025
2011-09-04,45.7874430025
2011-09-05,45.9981594223
2011-09-06,45.9848216186
2011-09-07,46.164861784
2011-09-08,46.1948162917
2011-09-09,46.5622059781
2011-09-10,46.5622059781
2011-09-11,46.5622059781
2011-09-12,47.2297891037
2011-09-13,47.5947233419
2011-09-14,47.6502294413
2011-09-15,47.5549111997
2011-09-16,47.2550872093
2011-09-17,47.2550872093
2011-09-18,47.2550872093
2011-09-19,47.8124770911
2011-09-20,48.0547045952
2011-09-21,48.3301554708
2011-09-22,49.5776323617
2011-09-23,49.4326135517
2011-09-24,49.4326135517
2011-09-25,49.4326135517
2011-09-26,49.4474074074
2011-09-27,49.0750423448
2011-09-28,48.7601790037
2011-09-29,48.9665809769
2011-09-30,48.9661556691
2011-10-01,48.9661556691
2011-10-02,48.9661556691
2011-10-03,49.1603511668
2011-10-04,49.4074804643
2011-10-05,49.3499287696
2011-10-06,49.3503655136
2011-10-07,49.1603394372
2011-10-08,49.1603394372
2011-10-09,49.1603394372
2011-10-10,48.9752078276
2011-10-11,49.3253472477
2011-10-12,48.9597559204
2011-10-13,49.1301813943
2011-10-14,49.0200622872
2011-10-15,49.0200622872
2011-10-16,49.0200622872
2011-10-17,48.9547038328
2011-10-18,49.3930973969
2011-10-19,49.1647382123
2011-10-20,49.8073441008
2011-10-21,50.0246412524
2011-10-22,50.0246412524
2011-10-23,50.0246412524
2011-10-24,49.8253464203
2011-10-25,49.5099870671
2011-10-26,49.5074316077
2011-10-27,49.5099016954
2011-10-28,48.7662429379
2011-10-29,48.7662429379
2011-10-30,48.7662429379
2011-10-31,48.6950932076
2011-11-01,49.2801056726
2011-11-02,49.1853139257
2011-11-03,49.1447034052
2011-11-04,49.10498802
2011-11-05,49.10498802
2011-11-06,49.10498802
2011-11-07,49.1114830447
2011-11-08,49.4799825936
2011-11-09,50.16504071
2011-11-10,50.0249706228
2011-11-11,50.1224908425
2011-11-12,50.1224908425
2011-11-13,50.1224908425
